id,typ,ex,ey,colour
TX,TX,100000.0,10000.0,green
TAR0,TAR,126239.0,68768.0,green
TAR1,TAR,77717.0,129077.0,green
TAR2,TAR,86292.0,194954.0,green
TAR3,TAR,12036.0,178151.0,green
TAR4,TAR,144137.0,155060.0,green
TAR5,TAR,60192.0,168405.0,green
TAR6,TAR,84115.0,187758.0,green
TAR7,TAR,164900.0,85271.0,green
TAR8,TAR,186527.0,92067.0,green
TAR9,TAR,41493.0,94308.0,green
RX0,RX,100037.47405725,10000.0,orange
RX1,RX,100074.9481145,10000.0,orange
RX2,RX,100112.42217175,10000.0,orange
RX3,RX,100149.896229,10000.0,orange
RX4,RX,100187.37028625,10000.0,orange
RX5,RX,100224.8443435,10000.0,orange
